"","state_ut","year","death_remanded","death_not_remanded","state_pca","district_pca","type","sc_order1","committee1","gdp","religion2","head_trans"
"78","HARYANA ",2003,0,1,0,0,"0",0,0,82862,1,0.473684211
"79","HIMACHAL PRADESH ",2003,0,0,0,0,"0",0,0,20721,1,0.833333333
"80","JAMMU & KASHMIR ",2003,0,0,0,0,"0",0,0,22194,0,1.3
"81","JHARKHAND",2003,0,0,0,0,"0",0,0,42449,1,0.571428571
"82","KARNATAKA ",2003,0,1,0,0,"0",0,0,130990,1,0.444444444
"83","KERALA ",2003,0,1,0,0,"0",0,0,96698,1,0.941176471
"84","MADHYA PRADESH",2003,1,1,0,0,"0",0,0,102839,1,0.479166667
"85","MAHARASHTRA",2003,9,18,0,0,"0",0,0,340600,1,0.212121212
"86","MANIPUR ",2003,0,0,0,0,"0",0,0,3979,1,0.555555556
"87","MEGHALAYA ",2003,1,0,0,0,"0",0,0,5280,1,1
"88","MIZORAM ",2003,2,2,0,0,"0",0,0,2325,1,1
"89","NAGALAND ",2003,0,0,0,0,"0",0,0,4812,1,0
"90","ORISSA ",2003,0,1,0,0,"0",0,0,61008,1,0.40625
"91","PUNJAB ",2003,3,0,0,0,"0",0,0,90089,0,1.130434783
"92","RAJASTHAN ",2003,0,6,0,0,"0",0,0,111606,1,1.277777778
"93","SIKKIM ",2003,0,0,0,0,"0",0,0,1430,1,0.5
"94","TAMIL NADU ",2003,0,4,0,0,"0",0,0,175371,1,0.633333333
"95","TRIPURA ",2003,0,0,0,0,"0",0,0,7551,1,1
"96","UTTAR PRADESH ",2003,5,2,0,0,"0",0,0,226972,1,2.510204082
"97","UTTARAKHAND ",2003,0,0,0,0,"0",0,0,20439,1,0.538461538
"98","WEST BENGAL ",2003,3,10,0,0,"0",0,0,189259,1,0.555555556
"99","Z A & N ISLANDS",2003,0,0,0,0,"0",0,0,1392,1,1
"100","Z CHANDIGARH ",2003,0,0,0,0,"0",0,0,7419,1,0
"101","Z D & N HAVELI",2003,0,0,0,0,"0",0,0,44146.9844314438,1,0
"102","Z DAMAN & DIU",2003,0,0,0,0,"0",0,0,6104.25100100739,1,0
"103","Z DELHI ",2003,0,0,0,0,"0",0,0,79468,1,0.111111111
"104","Z LAKSHADWEEP ",2003,0,0,0,0,"0",0,0,1454.32940180433,0,0
"105","Z PUDUCHERRY ",2003,0,0,0,0,"0",0,0,5438,1,0
"106","ANDHRA PRADESH",2004,11,3,0,0,"0",0,0,134767,1,0.318181818
"107","ARUNACHAL PRADESH ",2004,2,0,0,0,"0",0,0,3488,1,0.090909091
"108","ASSAM",2004,0,0,0,0,"0",0,0,53398,1,0.148148148
"109","BIHAR ",2004,0,1,0,0,"0",0,0,77781,1,2.60711115686048
"110","CHHATTISGARH ",2004,1,1,0,0,"0",0,0,47862,1,0.85
"111","GOA",2004,0,0,0,0,"0",0,0,12713,1,0
"112","GUJARAT ",2004,5,7,0,0,"0",0,0,203373,1,0.423076923
"113","HARYANA ",2004,0,0,0,0,"0",0,0,95795,1,0.473684211
"114","HIMACHAL PRADESH ",2004,4,0,0,0,"0",0,0,24077,1,0.5
"115","JAMMU & KASHMIR ",2004,0,0,0,0,"0",0,0,27305,0,0.35
"116","JHARKHAND",2004,0,0,0,0,"0",0,0,59758,1,0.590909091
"117","KARNATAKA ",2004,0,0,0,0,"0",0,0,166747,1,0.37037037
"118","KERALA ",2004,0,2,0,0,"0",0,0,119264,1,1.117647059
"119","MADHYA PRADESH",2004,0,1,0,0,"0",0,0,112927,1,0.604166667
"120","MAHARASHTRA",2004,8,13,0,0,"0",0,0,415480,1,0.333333333
"121","MANIPUR ",2004,0,1,0,0,"0",0,0,5133,1,0.555555556
"122","MEGHALAYA ",2004,0,0,0,0,"0",0,0,6559,1,1.60074237751355
"123","MIZORAM ",2004,0,0,0,0,"0",0,0,2682,1,0
"124","NAGALAND ",2004,0,0,0,0,"0",0,0,5839,1,0.363636364
"125","ORISSA ",2004,0,0,0,0,"0",0,0,77729,1,0.15625
"126","PUNJAB ",2004,2,0,0,0,"0",0,0,96839,0,9
"127","RAJASTHAN ",2004,0,0,0,0,"0",0,0,127746,1,2
"128","SIKKIM ",2004,0,0,0,0,"0",0,0,1739,1,0.25
"129","TAMIL NADU ",2004,0,7,0,0,"0",0,0,219003,1,0.7
"130","TRIPURA ",2004,0,0,0,0,"0",0,0,8904,1,0.75
"131","UTTAR PRADESH ",2004,0,4,0,0,"0",0,0,260841,1,3.066666667
"132","UTTARAKHAND ",2004,0,0,0,0,"0",0,0,24786,1,0
"133","WEST BENGAL ",2004,4,8,0,0,"0",0,0,208656,1,0.277777778
"134","Z A & N ISLANDS",2004,0,0,0,0,"0",0,0,1813,1,0
"135","Z CHANDIGARH ",2004,0,0,0,0,"0",0,0,8504,1,1.76409482203113
"136","Z D & N HAVELI",2004,0,0,0,0,"0",0,0,75056.3019271981,1,1
"137","Z DAMAN & DIU",2004,0,0,0,0,"0",0,0,4651.8177304763,1,0
"138","Z DELHI ",2004,0,1,0,0,"0",0,0,100325,1,1.777777778
"139","Z LAKSHADWEEP ",2004,0,0,0,0,"0",0,0,2123.69704892687,0,0
"140","Z PUDUCHERRY ",2004,0,0,0,0,"0",0,0,5754,1,0
"141","ANDHRA PRADESH",2005,42,11,0,0,"0",0,0,147606,1,0.318181818
"142","ARUNACHAL PRADESH ",2005,0,0,0,0,"0",0,0,3755,1,0.727272727
"143","ASSAM",2005,0,0,0,0,"0",0,0,59385,1,0.444444444
"144","BIHAR ",2005,0,0,0,0,"0",0,0,82490,1,1.175
"145","CHHATTISGARH ",2005,0,0,0,0,"0",0,0,53381,1,0.3
"146","GOA",2005,1,0,0,0,"0",0,0,14327,1,0
"147","GUJARAT ",2005,10,10,0,0,"0",0,0,244736,1,0.384615385
"148","HARYANA ",2005,0,0,0,0,"0",0,0,108885,1,0.736842105
"149","HIMACHAL PRADESH ",2005,0,0,0,0,"0",0,0,27127,1,0
"150","JAMMU & KASHMIR ",2005,0,1,0,0,"0",0,0,29920,0,0.65
"151","JHARKHAND",2005,0,0,0,0,"0",0,0,60901,1,0.772727273
"152","KARNATAKA ",2005,2,1,0,0,"0",0,0,195904,1,0.296296296
"153","KERALA ",2005,0,3,0,0,"0",0,0,136842,1,0.882352941
"154","MADHYA PRADESH",2005,0,1,0,0,"0",0,0,124276,1,0.583333333
"155","MAHARASHTRA",2005,9,8,0,0,"0",0,0,486766,1,1.212121212
"156","MANIPUR ",2005,0,0,0,0,"0",0,0,5718,1,0.777777778
"157","MEGHALAYA ",2005,1,0,0,0,"0",0,0,7265,1,0.285714286
"158","MIZORAM ",2005,0,0,0,0,"0",0,0,2971,1,0
"159","NAGALAND ",2005,0,0,0,0,"0",0,0,6588,1,0.636363636
"160","ORISSA ",2005,0,2,0,0,"0",0,0,85096,1,0.375
"161","PUNJAB ",2005,0,1,0,0,"0",0,0,108637,0,3.666666667
"162","RAJASTHAN ",2005,1,4,0,0,"0",0,0,142236,1,0
"163","SIKKIM ",2005,0,0,0,0,"0",0,0,1993,1,1.39751942360931
"164","TAMIL NADU ",2005,0,3,0,0,"0",0,0,257833,1,0.433333333
"165","TRIPURA ",2005,0,2,0,0,"0",0,0,9826,1,0
"166","UTTAR PRADESH ",2005,0,8,0,0,"0",0,0,293172,1,1.666666667
"167","UTTARAKHAND ",2005,0,0,0,0,"0",0,0,29968,1,0
"168","WEST BENGAL ",2005,1,6,0,0,"0",0,0,230245,1,0.388888889
"169","Z A & N ISLANDS",2005,0,0,0,0,"0",0,0,2044,1,0
"170","Z CHANDIGARH ",2005,0,0,0,0,"0",0,0,10185,1,0
"171","Z D & N HAVELI",2005,0,0,0,0,"0",0,0,156423.335928705,1,1
"172","Z DAMAN & DIU",2005,0,0,0,0,"0",0,0,9658.43198637486,1,0
"173","Z DELHI ",2005,0,0,0,0,"0",0,0,115374,1,0.444444444
"174","Z LAKSHADWEEP ",2005,0,0,0,0,"0",0,0,9543.37116788394,0,0
"175","Z PUDUCHERRY ",2005,0,0,0,0,"0",0,0,7977,1,0
"176","ANDHRA PRADESH",2006,17,11,0,0,"0",1,0,174064,1,1.08736656050746
"177","ARUNACHAL PRADESH ",2006,0,0,0,0,"0",1,0,4108,1,0.363636364
"178","ASSAM",2006,0,0,0,0,"0",1,0,64692,1,0.481481481
"179","BIHAR ",2006,0,0,0,0,"0",1,0,100737,1,1.80648197427989
"180","CHHATTISGARH ",2006,0,1,0,0,"0",1,0,66875,1,0.7
"181","GOA",2006,0,0,0,0,"0",1,0,16523,1,25.5
"182","GUJARAT ",2006,1,7,0,0,"0",1,0,283693,1,0.307692308
"183","HARYANA ",2006,0,1,0,0,"0",1,0,128732,1,0.530924014177504
"184","HIMACHAL PRADESH ",2006,0,0,0,0,"0",1,0,30274,1,0.416666667
"185","JAMMU & KASHMIR ",2006,1,0,0,0,"0",1,0,33230,0,0.55
"186","JHARKHAND",2006,0,0,0,0,"0",1,0,66935,1,0.454545455
"187","KARNATAKA ",2006,0,2,0,0,"0",1,0,227237,1,0.481481481
"188","KERALA ",2006,0,1,0,0,"0",1,0,153785,1,0.848240494927939
"189","MADHYA PRADESH",2006,1,1,0,0,"0",1,0,144577,1,1.020833333
"190","MAHARASHTRA",2006,9,9,0,0,"0",1,0,584498,1,0.765987837697152
"191","MANIPUR ",2006,0,0,0,0,"0",1,0,6137,1,0.555555556
"192","MEGHALAYA ",2006,0,0,0,0,"0",1,0,8625,1,0
"193","MIZORAM ",2006,0,0,0,0,"0",1,0,3290,1,0
"194","NAGALAND ",2006,0,0,0,0,"0",1,0,7257,1,0
"195","ORISSA ",2006,0,0,0,0,"0",1,0,101839,1,0.21875
"196","PUNJAB ",2006,0,0,0,0,"0",1,0,127123,0,9
"197","RAJASTHAN ",2006,2,2,0,0,"0",1,0,171043,1,0
"198","SIKKIM ",2006,0,0,0,0,"0",1,0,2161,1,0.5
"199","TAMIL NADU ",2006,2,4,0,0,"0",1,0,310526,1,1.98752098442427
"200","TRIPURA ",2006,0,1,0,0,"0",1,0,10914,1,0
"201","UTTAR PRADESH ",2006,0,6,0,0,"0",1,0,336317,1,6.466666667
"202","UTTARAKHAND ",2006,1,0,0,0,"0",1,0,36795,1,0.076923077
"203","WEST BENGAL ",2006,4,4,0,0,"0",1,0,261682,1,0.388888889
"204","Z A & N ISLANDS",2006,0,0,0,0,"0",1,0,2538,1,0
"205","Z CHANDIGARH ",2006,0,0,0,0,"0",1,0,12276,1,0
"206","Z D & N HAVELI",2006,0,0,0,0,"0",1,0,10640.1399270152,1,0
